CIM一级分类,CIM二级分类,CIM三级分类,ID,Location,所属园区名称,建筑名称,建设阶段,模型精度
时空基础数据,三维模型,建筑三维模型,IFC,"60461.871337890625,255312.5732421875,14086.000000000002",国际金融交流中心,国际金融交流中心,CProgress-A,CIM3
时空基础数据,三维模型,建筑三维模型,JingxingDS,"63617.816162109375,235365.5029296875,24450",景兴海上大厦,景兴海上大厦,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,JingxingSquare_U02,"63489.34937000158,213718.89650002122,13441",景兴海上广场,景兴海上广场二期,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,JingxingSquare_U01,"63139.56564742257,226286.1445050221,17708",景兴海上广场,景兴海上广场一期,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,ChowTF_FC_T01,"90158.94775000052,200804.296900006,17436",前海周大福金融大厦,前海周大福金融大厦1栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,ChowTF_HSBC,"91775.48827999854,192522.11910001934,10744",前海周大福金融大厦,汇丰银行大楼,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Tencent_T01,"113382.71480000112,264767.74900001474,24143",腾讯数码大厦,腾讯数码大厦1号楼,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Tencent_T02,"110232.80684569618,247517.5622298848,15580.000000000002",腾讯数码大厦,腾讯数码大厦2号楼,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,ZhongyingZhongliang_T01,"120825.92769999756,263468.48140000366,17965",中英人寿大厦（中粮）,中英人寿大厦（中粮）1号楼,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,ZhongyingZhongliang_T02,"127618.39599999948,264528.5645000171,20060",中英人寿大厦（中粮）,中英人寿大厦（中粮）2号楼,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Huaqiang_T03,"128272.15788253234,250328.4514275845,19000",华强金融大厦,华强金融大厦3,CProgress-A,CIM3
时空基础数据,三维模型,建筑三维模型,Xinhua,"121604.47861121502,249689.58502123132,16804",新华人寿大厦,新华人寿大厦,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,PinganCB,"126472.30219982448,231854.23639500514,22885",前海交易广场,平安信用卡大厦6C,CProgress-E,CIM5
时空基础数据,三维模型,建筑三维模型,Trans_T1A,"107979.79739999864,212281.3721000217,6752",前海交易广场,前海交易广场1A,CProgress-E,CIM5
时空基础数据,三维模型,建筑三维模型,Trans_T1B,"114551.83110000216,212439.40429999493,7970.999999999999",前海交易广场,前海交易广场1B,CProgress-E,CIM5
时空基础数据,三维模型,建筑三维模型,Trans_T1C,"110577.417000063,219248.71344007552,22885",前海交易广场,前海交易广场1C,CProgress-E,CIM5
时空基础数据,三维模型,建筑三维模型,Trans_T2A,"122719.03317863471,212591.72360002995,8631",前海交易广场,前海交易广场2A,CProgress-E,CIM5
时空基础数据,三维模型,建筑三维模型,Trans_T2B,"125875.32960000099,219128.02729997784,4674",前海交易广场,前海交易广场2B,CProgress-E,CIM5
时空基础数据,三维模型,建筑三维模型,Trans_T5A,"113390.50240486977,236318.1869124528,10398",前海交易广场,前海交易广场5A,CProgress-E,CIM5
时空基础数据,三维模型,建筑三维模型,Trans_T6A,"127994.95849999948,237803.61330001615,7734.999999999999",前海交易广场,前海交易广场6A,CProgress-E,CIM5
时空基础数据,三维模型,建筑三维模型,Trans_T6B,"121637.98829999869,237726.31839998066,8839",前海交易广场,前海交易广场6B,CProgress-E,CIM5
时空基础数据,三维模型,建筑三维模型,Huarun_T01,"135269.11620000028,196506.6039999947,1040",前海华润金融中心,前海华润金融中心1,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Huarun_T02,"135269.11620000028,200744.4213999901,1365",前海华润金融中心,前海华润金融中心2,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Huarun_TT2,"109160.74219999718,203421.00829998963,22433",前海华润金融中心,前海华润金融中心T2栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Huarun_TT1,"124299.75589999813,202902.3314999882,28560.000000000004",前海华润金融中心,前海华润金融中心T1栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Huarun_MIXC,"129198.71591881965,202471.57724001445,2880",前海华润金融中心,万象前海购物中心,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Huarun_TT3,"105934.69240000122,191140.4418999795,15102.000000000002",前海华润金融中心,前海华润金融中心T3栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Huarun_TT4,"114636.57230000244,190814.6972999908,19329",前海华润金融中心,前海华润金融中心T4栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Huarun_TT5,"128934.36280000024,191571.60640000366,24135",前海华润金融中心,前海华润金融中心T5栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Zhuoyue_U01,"129301.63569999859,184594.15279999375,19188",前海卓越金融中心,前海卓越金融中心一期,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Zhuoyue_U02T02,"106565.99120006431,172572.92479998432,19719",前海卓越金融中心,前海卓越金融中心二期2栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Zhuoyue_U01TT5,"121989.28220000234,183997.8027000092,2208",前海卓越金融中心,前海卓越金融中心1号T5栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Zhuoyue_T01,"105678.80225249683,183169.67115383595,30283",前海卓越金融中心,前海卓越金融中心1栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Zhuoyue_T31,"114958.59380000038,183587.97610001639,21531",前海卓越金融中心,前海卓越金融中心31栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Zhuoyue_U01TT6,"122378.85740000056,173431.83590001427,1701.0000000000002",前海卓越金融中心,前海卓越金融中心1号T6栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Zhuoyue_U01T04,"115593.29201868968,172301.94562813267,11799",前海卓越金融中心,前海卓越金融中心一期4栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Zhuoyue_T08,"129499.2797999992,173319.26270001568,19188",前海卓越金融中心,前海卓越金融中心8栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Hongyi_T02,"106657.14109999826,151650.51270001568,14902.000000000002",弘毅大厦,弘毅大厦二栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Hongyi_T01,"108433.15430000075,163089.94140001014,12492",弘毅大厦,弘毅大厦一栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHDS_TT1,"115687.90000000154,161577.19999998808,16037",前海大厦,前海大厦T1栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHDS_TT2,"115687.90000000154,152959.20000001788,10843",前海大厦,前海大厦T2栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Minsheng_U01,"129164.0000000014,161835.0000000093,19330",民生互联网大厦,民生互联网大厦民生电商1号,CProgress-E,CIM5
时空基础数据,三维模型,建筑三维模型,Minsheng_U02,"130232.0000000007,151844.79999998584,15069.999999999998",民生互联网大厦,民生互联网大厦民生电商2号,CProgress-E,CIM5
时空基础数据,三维模型,建筑三维模型,Minsheng_U03,"128863.29999999725,142190.4999999795,8800",民生互联网大厦,民生互联网大厦民生电商3号,CProgress-E,CIM5
时空基础数据,三维模型,建筑三维模型,Shenye_T01,"155514.51613742393,330775.35892804153,9560",深业住宅,深业住宅1栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Shenye_T02,"155547.3621031735,322935.2427906357,9560",深业住宅,深业住宅2栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Shenye_T03,"155817.92547631194,314572.5092455745,11150",深业住宅,深业住宅3栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Shenye_T04,"150968.69999989285,310242.24714250304,10220",深业住宅,深业住宅4栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Shenye_T05,"148678.12484137248,321886.6092456039,10594",深业住宅,深业住宅5栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Shenye_T06,"151383.44097859808,336874.49809499085,2118",深业住宅,深业住宅6栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Shenye_T07,"145635.39936507586,330266.06327993795,3076",深业住宅,深业住宅7栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Shenye_T08,"144862.68757928628,314207.4465075508,10584",深业住宅,深业住宅8栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Tianjian_T01,"163481.30000000237,321651.39999999665,16108.9",天健住宅,天健住宅1栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Tianjian_T02,"169143.09999999823,321939.60000001825,16737.3",天健住宅,天健住宅2栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Tianjian_T03,"169028.9999999979,327984.5999999903,16624.899999999998",天健住宅,天健住宅3栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Tianjian_T04,"168936.49999999907,333849.5000000112,13787.7",天健住宅,天健住宅4栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Tianjian_T05,"162379.49999999837,335884.2000000179,9018.24",天健住宅,天健住宅5栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Yueguifu_T01,"162346.86279296875,315489.306640625,2397",天健悦桂府,天健悦桂府1栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Yueguifu_T02,"168584.80224609375,315146.923828125,14811.000000000002",天健悦桂府,天健悦桂府2栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Yueguifu_T03,"169096.42333984375,310908.1787109375,1935.0000000000002",天健悦桂府,天健悦桂府3栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Yueguifu_T04,"163919.9563721195,310019.18684644625,14909",天健悦桂府,天健悦桂府4栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Fengtou_East,"153064.208984375,298353.1005859375,9798",中国国有资本风投大厦,中国国有资本风投大厦东座,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Fengtou_West,"144021.09380000038,298220.7763671875,25170",中国国有资本风投大厦,中国国有资本风投大厦西座,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Taiping,"145359.90627409192,274799.66970211826,19192",前海太平金融大厦,前海太平金融大厦,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Minhua,"153881.43256898038,276036.20463870466,15188",敏华控股大厦,敏华控股大厦,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Unit4School_T01,"163583.251953125,275488.2568359375,3411.9999999999995",四单元学校,四单元学校1栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Unit4School_T02,"169383.0810546875,274187.98828125,3833",四单元学校,四单元学校2栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Unit4School_T03,"163629.87060546875,292941.21090001427,2976",四单元学校,四单元学校3栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Unit4School_T04,"170057.09228515625,293126.7333984375,2829",四单元学校,四单元学校4栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Unit4School_T05,"163510.70556640625,296333.837890625,3358",四单元学校,四单元学校5栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Unit4School_T06,"169693.3349609375,297131.396484375,3472",四单元学校,四单元学校6栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Unit4School_T07,"163510.70556640625,299827.53909998573,3797.9999999999995",四单元学校,四单元学校7栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Unit4School_T08,"169693.3349609375,300682.6416015625,3786.9999999999995",四单元学校,四单元学校8栋,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Longwan_East,"153566.16652883822,262576.2707755901,19812",前海珑湾国际人才公寓,前海珑湾国际人才公寓东座,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longwan_West,"145116.48356848746,262759.77553650737,20122",前海珑湾国际人才公寓,前海珑湾国际人才公寓西座,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,WeBank,"166936.474609375,264638.720703125,15024",微众银行大厦,微众银行大厦,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Jiantao,"146316.7236328125,248133.2275390625,23957",建滔总部大厦,建滔总部大厦,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Zhaolian,"153774.59999999846,250245.89999997988,18520",招联大厦,招联大厦,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Zhongye_T01,"178585.10000000242,324130.8000000194,12697.199999999999",前海中冶科技大厦,前海中冶科技大厦1栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Zhongye_T02,"179233.69999999995,320498.60000000335,2684.9900000000002",前海中冶科技大厦,前海中冶科技大厦2栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Chuangjin,"179722.20000000088,312825.6000000052,15810",创金合信,创金合信,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,KingSchool_T01,"202724.59999999846,294783.9999999851,6305.0199999999995",前海特色双语学校（国王学校）,前海特色双语学校（国王学校）1栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,KingSchool_T02,"203374.099999998,290891.39999998733,2765.05",前海特色双语学校（国王学校）,前海特色双语学校（国王学校）2栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,KingSchool_T03,"199953.6000000022,287291.39999998733,2765.04",前海特色双语学校（国王学校）,前海特色双语学校（国王学校）3栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,KingSchool_T04,"205290.3231223696,285522.50317502767,2470.05",前海特色双语学校（国王学校）,前海特色双语学校（国王学校）4栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,SAM,"201988.73759278213,227508.3507192321,3297.9999999999995",前海控股桂湾汇（山姆超市）,前海控股桂湾汇（山姆超市）北座,CProgress-C,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T01,"177726.42528999713,301157.3658200912,11933.6",龙海家园,龙海家园1栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T02,"177976.86582007445,294571.40190494247,11933.6",龙海家园,龙海家园2栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T03,"184951.0496823932,294650.2019050997,11933.6",龙海家园,龙海家园3栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T04,"186369.90000000224,285467.70000001416,8877.22",龙海家园,龙海家园4栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T05,"186347.10000000196,279111.10000000335,8877.22",龙海家园,龙海家园5栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T06,"178329.28322764928,273724.29745993577,11933.6",龙海家园,龙海家园6栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T07,"185382.9670897976,273788.5310049169,11933.6",龙海家园,龙海家园7栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T08,"178553.59364993637,267015.85403434,11933.6",龙海家园,龙海家园8栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T09,"185711.55095251743,260914.74161376245,8877.22",龙海家园,龙海家园9栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T10,"185686.05095252278,253309.75838624872,8877.22",龙海家园,龙海家园10栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T11,"178806.5234780952,246918.66210312583,11933.6",龙海家园,龙海家园11栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T12,"178371.79999999935,239061.40000000596,11933.6",龙海家园,龙海家园12栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T13,"185775.21804240532,239116.20000004768,11933.6",龙海家园,龙海家园13栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T14,"185958.6894843029,232509.57298288122,8877.22",龙海家园,龙海家园14栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T15,"186304.2193125293,226194.57298289053,8877.22",龙海家园,龙海家园15栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T16,"179133.97860452533,220407.772982819,11933.6",龙海家园,龙海家园16栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T17,"186119.08948442433,220411.29999998957,11933.6",龙海家园,龙海家园17栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_T18,"179279.6533061075,214039.211243717,11933.6",龙海家园,龙海家园18栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,GangwanPrimarySchool,"182269.59999999963,289460.39999998175,1499",龙海家园,港湾小学,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_Kindergarten_U01,"179154.89755312447,232341.0729827825,1189.6499999999999",龙海家园,龙海家园第二幼儿园,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Longhai_Kindergarten_U02,"178255.09999999776,259883.60000001267,1189.6499999999999",龙海家园,龙海家园第一幼儿园,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHTimes_GangwanSchool,"171686.09999999753,124507.59999998845,2283.5899999999997",地铁前海时代,地铁前海时代前海港湾学校,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHTimes_CB,"168399.8000001593,203371.0721699521,10070.9",地铁前海时代,地铁前海时代地铁综合楼,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_VCFC,"180964.11178566632,201919.02420623228,3526.7200000000003",地铁前海时代,前海深港基金小镇创投基金中心,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_ArtHouse_UA,"173365.32484116615,187767.5863094628,3581.79",地铁前海时代,前海深港基金小镇艺舍A,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_Roadshow,"155392.69999990938,182484.86146819778,2816.7200000000003",地铁前海时代,前海深港基金小镇路演中心,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_Springwater,"186430.24445020128,179906.1804250814,3581.79",地铁前海时代,前海深港基金小镇春泉,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_Waterscape_UA,"154303.96210314357,176070.81332663074,2446.62",地铁前海时代,前海深港基金小镇水景庭院A,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_Waterscape_UB,"157016.67579362984,172123.60244691372,1991.72",地铁前海时代,前海深港基金小镇水景庭院B,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_HFC,"174532.29999999749,175121.7999999877,4011.71",地铁前海时代,前海深港基金小镇对冲基金中心,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_Kindergarten_TA,"182616.97298287763,175303.12420614064,2688.2200000000003",地铁前海时代,前海深港基金小镇幼儿园A栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_Kindergarten_TB,"182419.910879893,172679.38630944118,2688.2200000000003",地铁前海时代,前海深港基金小镇幼儿园B栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_Kindergarten_TC,"182943.06491411407,170925.43227500282,2688.2200000000003",地铁前海时代,前海深港基金小镇幼儿园C栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_Kindergarten_TD,"179690.62701733783,170904.6512234956,2688.2200000000003",地铁前海时代,前海深港基金小镇幼儿园D栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TA1,"164737.74877662654,179983.61858441494,3861.59",地铁前海时代,前海深港基金小镇A1栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TA2,"163277.75403425912,184205.16736092977,3808.71",地铁前海时代,前海深港基金小镇A2栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TA3,"170451.56210313435,185928.4052577801,3581.79",地铁前海时代,前海深港基金小镇A3栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TA4,"168816.1270172277,181868.94034361467,3581.79",地铁前海时代,前海深港基金小镇A4栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TA5,"171189.75775127765,190893.59066123143,3581.79",地铁前海时代,前海深港基金小镇A5栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TA6,"168144.68757949653,188822.5111505948,3581.79",地铁前海时代,前海深港基金小镇A6栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TA7,"166658.83332032827,185475.69146882743,3581.79",地铁前海时代,前海深港基金小镇A7栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TA8,"173019.31115066982,194191.4732537698,3581.7799999999997",地铁前海时代,前海深港基金小镇A8栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TA9,"175018.87452369556,191271.1906612385,3581.7300000000005",地铁前海时代,前海深港基金小镇A9栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_ArtHouse_TA11,"178174.84968245844,193201.83662683703,3581.89",地铁前海时代,前海深港基金小镇艺舍A11栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_ArtHouse_TA12,"177019.66273820726,196159.08630937338,3666.76",地铁前海时代,前海深港基金小镇艺舍A12栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TB1,"182621.949682408,193753.86518500745,3893.82",地铁前海时代,前海深港基金小镇B1栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TB2,"182600.04968254943,190840.56518496946,3893.82",地铁前海时代,前海深港基金小镇B2栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TB3,"182493.20000011357,187897.93227496557,3893.82",地铁前海时代,前海深港基金小镇B3栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TB4,"181723.00000000978,184813.88195743784,3893.82",地铁前海时代,前海深港基金小镇B4栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TB5,"179770.21677256562,182219.86146811396,3893.82",地铁前海时代,前海深港基金小镇B5栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TB6,"181709.67887560255,180573.12855813652,3893.82",地铁前海时代,前海深港基金小镇B6栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TB7,"179882.50000000116,178633.00000000745,3893.82",地铁前海时代,前海深港基金小镇B7栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,Foundtown_TB8,"177949.17528578662,179985.82407925278,3893.82",地铁前海时代,前海深港基金小镇B8栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHTimes_T01,"186654.70000000205,132297.99999999814,11076.699999999999",地铁前海时代,地铁前海时代广场1栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHTimes_T02,"186654.70000000205,137943.00000001676,11076.699999999999",地铁前海时代,地铁前海时代广场2栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHTimes_T03,"187104.49256622232,143581.14161365665,11076.699999999999",地铁前海时代,地铁前海时代广场3栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHTimes_T04,"187183.8677250722,149839.50000000186,11076.699999999999",地铁前海时代,地铁前海时代广场4栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHTimes_T05,"187316.15965630044,155522.541613644,11076.699999999999",地铁前海时代,地铁前海时代广场5栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHTimes_T07,"177870.6999999995,132704.69999997877,5165.72",地铁前海时代,地铁前海时代广场7栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHTimes_T08,"168659.2882144847,132758.63662683405,5165.72",地铁前海时代,地铁前海时代广场8栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHTimes_T09,"168993.33789666416,137629.33662687428,5165.72",地铁前海时代,地铁前海时代广场9栋,CProgress-E,CIM3
时空基础数据,三维模型,建筑三维模型,QHTimes_T10,"180450.39265938685,136684.84034379944,5165.72",地铁前海时代,地铁前海时代广场10栋,CProgress-E,CIM3
